Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 45.45      0.25     0.25                             _mcount_private
 21.82      0.37     0.12                             __fentry__
  5.45      0.40     0.03 38953965     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  3.64      0.42     0.02       12     1.67     3.79  Program::import_merge(Program&, bool)
  1.82      0.43     0.01     2493     0.00     0.00  UnlessStatement::isTerminator()
  1.82      0.44     0.01     2265     0.00     0.01  Program::find_global(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, Global*)
  1.82      0.45     0.01                             readAbbreviatedField(llvm::BitstreamCursor&, llvm::BitCodeAbbrevOp const&)
  1.82      0.46     0.01                             (anonymous namespace)::DAGCombiner::visitTokenFactor(llvm::SDNode*)
  1.82      0.47     0.01                             (anonymous namespace)::WinCOFFObjectWriter::recordRelocation(llvm::MCAssembler&, llvm::MCAsmLayout const&, llvm::MCFragment const*, llvm::MCFixup const&, llvm::MCValue, bool&, unsigned long long&)
  1.82      0.48     0.01                             llvm::AsmPrinter::doFinalization(llvm::Module&)
  1.82      0.49     0.01                             llvm::BitstreamCursor::readRecord(unsigned int, llvm::SmallVectorImpl<unsigned long long>&, llvm::StringRef*)
  1.82      0.50     0.01                             llvm::ValueEnumerator::EnumerateValue(llvm::Value const*)
  1.82      0.51     0.01                             llvm::SelectionDAGISel::SelectAllBasicBlocks(llvm::Function const&)
  1.82      0.52     0.01                             llvm::MCContext::createSymbol(llvm::StringRef, bool, bool)
  1.82      0.53     0.01                             (anonymous namespace)::X86MCInstLower::LowerMachineOperand(llvm::MachineInstr const*, llvm::MachineOperand const&) const
  1.82      0.54     0.01                             llvm::MachineRegisterInfo::hasOneNonDBGUse(unsigned int) const
  1.82      0.55     0.01                             __tcf_0
  0.00      0.55     0.00   878487     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.55     0.00   168844     0.00     0.00  Token::free()
  0.00      0.55     0.00   168844     0.00     0.00  Token::~Token()
  0.00      0.55     0.00   123024     0.00     0.00  parse_attribute(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, ErrorHandler&)
  0.00      0.55     0.00    84422     0.00     0.00  string_iter_kill_whitespace(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long long&)
  0.00      0.55     0.00    84422     0.00     0.00  Token::Token(Token const&)
  0.00      0.55     0.00    84422     0.00     0.00  void std::vector<Token, std::allocator<Token> >::emplace_back<Token>(Token&&)
  0.00      0.55     0.00    83777     0.00     0.00  Program::resolve_if_alias(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.55     0.00    80203     0.00     0.00  Program::is_function_typename(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.55     0.00    72175     0.00     0.00  NullExp::assemble(Program&, Function&, AssembleContext&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.55     0.00    68998     0.00     0.00  Program::find_type(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, llvm::Type**)
  0.00      0.55     0.00    60835     0.00     0.00  Token::getString[abi:cxx11]()
  0.00      0.55     0.00    52084     0.00     0.00  Token::Token(unsigned short, void*)
  0.00      0.55     0.00    44794     0.00     0.00  ErrorHandler::ErrorHandler()
  0.00      0.55     0.00    43422     0.00     0.00  NullExp::toString[abi:cxx11]()
  0.00      0.55     0.00    41739     0.00     0.00  std::vector<llvm::Type*, std::allocator<llvm::Type*> >::push_back(llvm::Type* const&)
  0.00      0.55     0.00    40976     0.00     0.00  PlainExp** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<PlainExp*>(PlainExp* const*, PlainExp* const*, PlainExp**)
  0.00      0.55     0.00    40686     0.00     0.00  Program::resolve_once_if_alias(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.55     0.00    37694     0.00     0.00  ErrorHandler::operator=(ErrorHandler const&)
  0.00      0.55     0.00    33762     0.00     0.00  std::vector<llvm::Type*, std::allocator<llvm::Type*> >::_M_check_len(unsigned long long, char const*) const
  0.00      0.55     0.00    32338     0.00     0.00  Token::Token(unsigned short)
  0.00      0.55     0.00    31971     0.00     0.00  PlainExp::~PlainExp()
  0.00      0.55     0.00    19719     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.55     0.00    19154     0.00     0.00  PlainExp::PlainExp(PlainExp const&)
  0.00      0.55     0.00    16093     0.00     0.00  parse_token(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, ErrorHandler&)
  0.00      0.55     0.00    16093     0.00     0.00  AttributeInfo::AttributeInfo(bool)
  0.00      0.55     0.00    15960     0.00     0.00  Constant::Constant(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, PlainExp*, bool)
  0.00      0.55     0.00    15239     0.00     0.00  llvm::Twine::Twine(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.55     0.00    14303     0.00     0.00  parse_keyword(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, AttributeInfo const&, ErrorHandler&)
  0.00      0.55     0.00    14298     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.55     0.00    13971     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::push_back(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.55     0.00    13718     0.00     0.00  native_build_module(AssembleContext&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, ModuleBuildOptions&)
  0.00      0.55     0.00    13616     0.00     0.00  UnsignedIntegerExp::~UnsignedIntegerExp()
  0.00      0.55     0.00    13616     0.00     0.00  UnsignedIntegerExp::~UnsignedIntegerExp()
  0.00      0.55     0.00    12983     0.00     0.00  PlainExp::PlainExp()
  0.00      0.55     0.00    12261     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_check_len(unsigned long long, char const*) const
  0.00      0.55     0.00    11225     0.00     0.00  Program::function_typename_to_type(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, llvm::Type**)
  0.00      0.55     0.00    11225     0.00     0.00  Program::extract_function_pointer_info(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<llvm::Type*, std::allocator<llvm::Type*> >&, llvm::Type**)
  0.00      0.55     0.00    11046     0.00     0.00  tokenize_line(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<Token, std::allocator<Token> >&, ErrorHandler&)
  0.00      0.55     0.00    10559     0.00     0.00  Token::getPrecedence()
  0.00      0.55     0.00    10447     0.00     0.00  parse_expression_primary(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, PlainExp**, ErrorHandler&)
  0.00      0.55     0.00    10348     0.00     0.00  parse_expression(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, PlainExp**, ErrorHandler&)
  0.00      0.55     0.00    10348     0.00     0.00  parse_expression_operator_right(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, int, PlainExp**, ErrorHandler&)
  0.00      0.55     0.00     9090     0.00     0.00  UnsignedIntegerExp::clone()
  0.00      0.55     0.00     9090     0.00     0.00  UnsignedIntegerExp::UnsignedIntegerExp(UnsignedIntegerExp const&)
  0.00      0.55     0.00     8266     0.00     0.00  AttributeInfo::AttributeInfo()
  0.00      0.55     0.00     7206     0.00     0.00  Global::Global()
  0.00      0.55     0.00     6800     0.00     0.00  Class::operator=(Class const&)
  0.00      0.55     0.00     6705     0.00     0.00  assemble_global(AssembleContext&, Configuration&, Program&, Global&)
  0.00      0.55     0.00     5561     0.00     0.00  WordExp::~WordExp()
  0.00      0.55     0.00     5561     0.00     0.00  WordExp::~WordExp()
  0.00      0.55     0.00     5560     0.00     0.00  tokenize_number(bool, char&, unsigned long long&, unsigned long long&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<Token, std::allocator<Token> >&, ErrorHandler&)
  0.00      0.55     0.00     5451     0.00     0.00  Statement::~Statement()
  0.00      0.55     0.00     5400     0.00     0.00  parse_constant(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, AttributeInfo const&, ErrorHandler&)
  0.00      0.55     0.00     5265     0.00     0.00  llvm::CastInst* llvm::IRBuilder<llvm::ConstantFolder, llvm::IRBuilderDefaultInserter>::Insert<llvm::CastInst>(llvm::CastInst*, llvm::Twine const&) const
  0.00      0.55     0.00     5146     0.00     0.00  PlainExp::assemble_immutable(Program&, Function&, AssembleContext&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.55     0.00     4846     0.00     0.00  assemble_merge_types_oneway(AssembleContext&, Program&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, llvm::Value**, llvm::Type*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.55     0.00     4721     0.00     0.00  AssignStatement::~AssignStatement()
  0.00      0.55     0.00     4721     0.00     0.00  AssignStatement::~AssignStatement()
  0.00      0.55     0.00     4676     0.00     0.00  OperatorExp::assemble(Program&, Function&, AssembleContext&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.55     0.00     4630     0.00     0.00  External::External()
  0.00      0.55     0.00     4617     0.00     0.00  CallExp::~CallExp()
  0.00      0.55     0.00     4617     0.00     0.00  CallExp::~CallExp()
  0.00      0.55     0.00     4526     0.00     0.00  UnsignedIntegerExp::UnsignedIntegerExp(unsigned int, ErrorHandler&)
  0.00      0.55     0.00     4526     0.00     0.00  Token::getUInt()
  0.00      0.55     0.00     4522     0.00     0.00  StringExp::~StringExp()
  0.00      0.55     0.00     4522     0.00     0.00  StringExp::~StringExp()
  0.00      0.55     0.00     4144     0.00     0.00  parse_type(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, ErrorHandler&)
  0.00      0.55     0.00     3122     0.00     0.00  WordExp::clone()
  0.00      0.55     0.00     3122     0.00     0.00  WordExp::WordExp(WordExp const&)
  0.00      0.55     0.00     3082     0.00     0.00  AssembleContext::AssembleContext(bool)
  0.00      0.55     0.00     2934     0.00     0.00  Statement::Statement(Statement const&)
  0.00      0.55     0.00     2928     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator=(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      0.55     0.00     2710     0.00     0.00  IntegerExp::~IntegerExp()
  0.00      0.55     0.00     2710     0.00     0.00  IntegerExp::~IntegerExp()
  0.00      0.55     0.00     2672     0.00     0.00  Function::find_variable(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Variable*)
  0.00      0.55     0.00     2646     0.00     0.00  llvm::IRBuilderBase::SetInstDebugLocation(llvm::Instruction*) const
  0.00      0.55     0.00     2646     0.00     0.00  llvm::CallInst* llvm::IRBuilder<llvm::ConstantFolder, llvm::IRBuilderDefaultInserter>::Insert<llvm::CallInst>(llvm::CallInst*, llvm::Twine const&) const
  0.00      0.55     0.00     2587     0.00     0.00  WordExp::assemble(Program&, Function&, AssembleContext&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.55     0.00     2587     0.00     0.00  WordExp::WordExp(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, ErrorHandler&)
  0.00      0.55     0.00     2517     0.00     0.00  Statement::Statement()
  0.00      0.55     0.00     2517     0.00     0.00  void std::vector<Statement*, std::allocator<Statement*> >::emplace_back<Statement*>(Statement*&&)
  0.00      0.55     0.00     2487     0.00     0.00  std::_Vector_base<Function, std::allocator<Function> >::_Vector_impl::_M_swap_data(std::_Vector_base<Function, std::allocator<Function> >::_Vector_impl&)
  0.00      0.55     0.00     2472     0.00     0.00  std::vector<PlainExp*, std::allocator<PlainExp*> >::push_back(PlainExp* const&)
  0.00      0.55     0.00     2472     0.00     0.00  std::vector<llvm::Value*, std::allocator<llvm::Value*> >::push_back(llvm::Value* const&)
  0.00      0.55     0.00     2470     0.00     0.00  mangle(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      0.55     0.00     2463     0.00     0.00  std::vector<llvm::Value*, std::allocator<llvm::Value*> >::_M_check_len(unsigned long long, char const*) const
  0.00      0.55     0.00     2463     0.00     0.00  void std::vector<PlainExp*, std::allocator<PlainExp*> >::_M_emplace_back_aux<PlainExp* const&>(PlainExp* const&)
  0.00      0.55     0.00     2452     0.00     0.00  parse_block_word(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, std::vector<Statement*, std::allocator<Statement*> >&, unsigned long long&, ErrorHandler&)
  0.00      0.55     0.00     2426     0.00     0.00  llvm::APInt::clearUnusedBits()
  0.00      0.55     0.00     2425     0.00     0.00  llvm::IRBuilder<llvm::ConstantFolder, llvm::IRBuilderDefaultInserter>::CreateStore(llvm::Value*, llvm::Value*, bool)
  0.00      0.55     0.00     2418     0.00     0.00  llvm::cast_retty<llvm::Constant, llvm::Value*>::ret_type llvm::dyn_cast<llvm::Constant, llvm::Value>(llvm::Value*)
  0.00      0.55     0.00     2416     0.00     0.00  AssignStatement::clone()
  0.00      0.55     0.00     2416     0.00     0.00  AssignStatement::AssignStatement(AssignStatement const&)
  0.00      0.55     0.00     2411     0.00     0.00  assemble_types_mergeable(Program&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.55     0.00     2384     0.00     0.00  llvm::CallInst::setCallingConv(unsigned int)
  0.00      0.55     0.00     2384     0.00     0.00  llvm::IRBuilder<llvm::ConstantFolder, llvm::IRBuilderDefaultInserter>::CreateCall(llvm::FunctionType*, llvm::Value*, llvm::ArrayRef<llvm::Value*>, llvm::Twine const&, llvm::MDNode*)
  0.00      0.55     0.00     2384     0.00     0.00  Program::find_func(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, External*)
  0.00      0.55     0.00     2384     0.00     0.00  std::vector<PlainExp*, std::allocator<PlainExp*> >::operator=(std::vector<PlainExp*, std::allocator<PlainExp*> > const&)
  0.00      0.55     0.00     2354     0.00     0.00  External::operator=(External const&)
  0.00      0.55     0.00     2330     0.00     0.00  CallExp::clone()
  0.00      0.55     0.00     2330     0.00     0.00  CallExp::CallExp(CallExp const&)
  0.00      0.55     0.00     2305     0.00     0.00  parse_block_assign(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, std::vector<Statement*, std::allocator<Statement*> >&, unsigned long long&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, ErrorHandler&)
  0.00      0.55     0.00     2305     0.00     0.01  AssignStatement::assemble(Program&, Function&, AssembleContext&)
  0.00      0.55     0.00     2305     0.00     0.00  AssignStatement::AssignStatement(PlainExp*, PlainExp*, ErrorHandler&)
  0.00      0.55     0.00     2287     0.00     0.00  parse_expression_call(Configuration&, std::vector<Token, std::allocator<Token> >&, Program&, unsigned long long&, PlainExp**, ErrorHandler&)
  0.00      0.55     0.00     2287     0.00     0.00  FuncptrExp::~FuncptrExp()
